id,code,name,breadcrumb,level,parent_code
9976,11.06.11.2021,"Leupung Mesjid","Leupung Mesjid, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9977,11.06.11.2022,"Cot Lamee","Cot Lamee, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9978,11.06.11.2023,"Leupung Ulee Alue","Leupung Ulee Alue, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9979,11.06.11.2024,"Lampoh Tarom","Lampoh Tarom, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9980,11.06.11.2025,"Lamteube Geupula","Lamteube Geupula, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9981,11.06.11.2026,"Lamteube Mon Ara","Lamteube Mon Ara, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9982,11.06.11.2027,Aron,"Aron, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9983,11.06.11.2028,"Bak Buloh","Bak Buloh, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9984,11.06.11.2029,"Lam Seunong","Lam Seunong, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9985,11.06.11.2030,"Lam Raya","Lam Raya, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9986,11.06.11.2031,"Lam Roh","Lam Roh, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9987,11.06.11.2032,"Lambunot Tanoh","Lambunot Tanoh, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9988,11.06.11.2033,"Tumpok Lampoh","Tumpok Lampoh, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9989,11.06.11.2034,Puuk,"Puuk, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9990,11.06.11.2035,"Lambunot Paya","Lambunot Paya, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9991,11.06.11.2036,"Lampoh Keude","Lampoh Keude, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9992,11.06.11.2037,"Lam Asan","Lam Asan, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9993,11.06.11.2038,"Lambro Deyah","Lambro Deyah, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9994,11.06.11.2039,"Lambro Bileu","Lambro Bileu, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9995,11.06.11.2040,"Cot Peutano","Cot Peutano, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9996,11.06.11.2041,"Cot Cut","Cot Cut, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9997,11.06.11.2042,"Meunasah Baktrieng","Meunasah Baktrieng, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9998,11.06.11.2043,"Babah Jurong","Babah Jurong, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
9999,11.06.11.2044,"Lam Glumpang","Lam Glumpang, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10000,11.06.11.2045,Rabeu,"Rabeu, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10001,11.06.11.2046,Cucum,"Cucum, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10002,11.06.11.2047,Deyah,"Deyah, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10003,11.06.11.2048,"Lam Trieng","Lam Trieng, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10004,11.06.11.2049,Beurangong,"Beurangong, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10005,11.06.11.2050,"Cot Preh","Cot Preh, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10006,11.06.11.2051,"Cot Raya","Cot Raya, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10007,11.06.11.2052,"Cot Yang","Cot Yang, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10008,11.06.11.2053,"Ujong Blang","Ujong Blang, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10009,11.06.11.2054,Lamceu,"Lamceu, Kuta Baro, Kabupaten Aceh Besar, Aceh",6,11.06.11
10010,11.06.12.2001,Angan,"Angan, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10011,11.06.12.2002,"Lam Peudaya","Lam Peudaya, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10012,11.06.12.2003,"Lambada Peukan","Lambada Peukan, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10013,11.06.12.2004,"Lambiheu La","Lambiheu La, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10014,11.06.12.2005,"Lambaro Sukon","Lambaro Sukon, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10015,11.06.12.2006,"Miruek Taman","Miruek Taman, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10016,11.06.12.2007,Suleue,"Suleue, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10017,11.06.12.2008,"Gampong Cot","Gampong Cot, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10018,11.06.12.2009,"Gampong Blang","Gampong Blang, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10019,11.06.12.2010,Lampuja,"Lampuja, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10020,11.06.12.2011,"Tanjung Deah","Tanjung Deah, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10021,11.06.12.2012,Limpok,"Limpok, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10022,11.06.12.2013,Lampuuk,"Lampuuk, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10023,11.06.12.2014,"Lam Ujong","Lam Ujong, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10024,11.06.12.2015,"Lam Gawe","Lam Gawe, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10025,11.06.12.2016,Berabung,"Berabung, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10026,11.06.12.2017,Lamtimpeung,"Lamtimpeung, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10027,11.06.12.2018,Tungkop,"Tungkop, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10028,11.06.12.2019,"Tanjong Seulamat","Tanjong Seulamat, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10029,11.06.12.2020,Lamkeunung,"Lamkeunung, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10030,11.06.12.2021,"Lam Duroy","Lam Duroy, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10031,11.06.12.2022,"Lam Klat","Lam Klat, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10032,11.06.12.2023,"Lambiheu Siem","Lambiheu Siem, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10033,11.06.12.2024,Lambitra,"Lambitra, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10034,11.06.12.2025,"Lie Eue","Lie Eue, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10035,11.06.12.2026,"Krueng Kalee","Krueng Kalee, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10036,11.06.12.2027,"Lam Asan","Lam Asan, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10037,11.06.12.2028,"Lam Reh","Lam Reh, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10038,11.06.12.2029,Siem,"Siem, Darussalam, Kabupaten Aceh Besar, Aceh",6,11.06.12
10039,11.06.13.2001,Rinon,"Rinon, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10040,11.06.13.2002,"Alue Raya","Alue Raya, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10041,11.06.13.2003,Melingge,"Melingge, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10042,11.06.13.2004,Lapeng,"Lapeng, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10043,11.06.13.2005,"Ulee Paya","Ulee Paya, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10044,11.06.13.2006,Gugop,"Gugop, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10045,11.06.13.2007,Seurapong,"Seurapong, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10046,11.06.13.2008,"Blang Situngkoh","Blang Situngkoh, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10047,11.06.13.2009,Paloh,"Paloh, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10048,11.06.13.2010,Lampuyang,"Lampuyang, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10049,11.06.13.2011,Lhok,"Lhok, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10050,11.06.13.2012,Teunom,"Teunom, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10051,11.06.13.2013,Lamteng,"Lamteng, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10052,11.06.13.2014,"Pasi Janeng","Pasi Janeng, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10053,11.06.13.2015,Rabo,"Rabo, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10054,11.06.13.2016,"Alue Reuyeueng","Alue Reuyeueng, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10055,11.06.13.2017,Deudap,"Deudap, Pulo Aceh, Kabupaten Aceh Besar, Aceh",6,11.06.13
10056,11.06.14.2001,Lamtamot,"Lamtamot, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10057,11.06.14.2002,"Lambaro Tunong","Lambaro Tunong, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10058,11.06.14.2003,Lonbaroh,"Lonbaroh, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10059,11.06.14.2004,"Lon Asan","Lon Asan, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10060,11.06.14.2005,"Paya Keureuleh","Paya Keureuleh, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10061,11.06.14.2006,Panca,"Panca, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10062,11.06.14.2007,"Lam Kubu","Lam Kubu, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10063,11.06.14.2008,"Panca Kubu","Panca Kubu, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10064,11.06.14.2009,"Suka Damai","Suka Damai, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10065,11.06.14.2010,"Suka Mulya","Suka Mulya, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10066,11.06.14.2011,"Saree Aceh","Saree Aceh, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10067,11.06.14.2012,Teuladan,"Teuladan, Lembah Seulawah, Kabupaten Aceh Besar, Aceh",6,11.06.14
10068,11.06.15.2001,Teureubeh,"Teureubeh, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10069,11.06.15.2002,Barueh,"Barueh, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10070,11.06.15.2003,Jantho,"Jantho, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10071,11.06.15.2004,Awek,"Awek, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10072,11.06.15.2005,"Data Cut","Data Cut, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10073,11.06.15.2006,Bueng,"Bueng, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10074,11.06.15.2007,Weu,"Weu, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10075,11.06.15.2008,Jalin,"Jalin, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10076,11.06.15.2009,"Suka Tani","Suka Tani, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10077,11.06.15.2010,Cucum,"Cucum, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10078,11.06.15.2011,"Jantho Baru","Jantho Baru, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10079,11.06.15.2012,"Jantho Makmur","Jantho Makmur, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10080,11.06.15.2013,"Bukit Meusara","Bukit Meusara, Kota Jantho, Kabupaten Aceh Besar, Aceh",6,11.06.15
10081,11.06.16.2001,Lampakuk,"Lampakuk, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10082,11.06.16.2002,"Lampoh Raja","Lampoh Raja, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10083,11.06.16.2003,"Lam Aling","Lam Aling, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10084,11.06.16.2004,Lamleupung,"Lamleupung, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10085,11.06.16.2005,Lamkleng,"Lamkleng, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10086,11.06.16.2006,"Ie Alang Lamkreumeuh","Ie Alang Lamkreumeuh, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10087,11.06.16.2007,"Ie Alang Lamghui","Ie Alang Lamghui, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10088,11.06.16.2008,"Ie Alang Mesjid","Ie Alang Mesjid, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10089,11.06.16.2009,"Ie Alang Dayah","Ie Alang Dayah, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10090,11.06.16.2010,Lamtui,"Lamtui, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10091,11.06.16.2011,"Barih Lhok","Barih Lhok, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10092,11.06.16.2012,"Bueng Simek","Bueng Simek, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10093,11.06.16.2013,"Banda Safa","Banda Safa, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10094,11.06.16.2014,Bithak,"Bithak, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10095,11.06.16.2015,Lambeugak,"Lambeugak, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10096,11.06.16.2016,Pakuk,"Pakuk, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10097,11.06.16.2017,Lamsie,"Lamsie, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10098,11.06.16.2018,Sigapang,"Sigapang, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10099,11.06.16.2019,Tutui,"Tutui, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10100,11.06.16.2020,"Pasar Lampaku","Pasar Lampaku, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10101,11.06.16.2021,Maheng,"Maheng, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10102,11.06.16.2022,"Leupung Bruek","Leupung Bruek, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10103,11.06.16.2023,Keumireu,"Keumireu, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10104,11.06.16.2024,Lamleuot,"Lamleuot, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10105,11.06.16.2025,"Leupung Balue","Leupung Balue, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10106,11.06.16.2026,"Bak Sukon","Bak Sukon, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10107,11.06.16.2027,"Cot Bayu","Cot Bayu, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10108,11.06.16.2028,"Glee Jai","Glee Jai, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10109,11.06.16.2029,"Keuruweung Blang","Keuruweung Blang, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10110,11.06.16.2030,"Keuruweung Krueng","Keuruweung Krueng, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10111,11.06.16.2031,"Siron Blang","Siron Blang, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10112,11.06.16.2032,"Siron Krueng","Siron Krueng, Kuta Cot Glie, Kabupaten Aceh Besar, Aceh",6,11.06.16
10113,11.06.17.2001,"Lambaro Samahani","Lambaro Samahani, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10114,11.06.17.2002,"Lam Ara Cut","Lam Ara Cut, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10115,11.06.17.2003,"Lam Ara Engkit","Lam Ara Engkit, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10116,11.06.17.2004,"Lam Ara Tunong","Lam Ara Tunong, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10117,11.06.17.2005,"Leupung Riwat","Leupung Riwat, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10118,11.06.17.2006,"Tumbo Baro","Tumbo Baro, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10119,11.06.17.2007,"Leupung Cut","Leupung Cut, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10120,11.06.17.2008,"Lamsiteh Cot","Lamsiteh Cot, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10121,11.06.17.2009,"Reuleung Karieng","Reuleung Karieng, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10122,11.06.17.2010,"Leubok Buni","Leubok Buni, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10123,11.06.17.2011,"Leubok Batee","Leubok Batee, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10124,11.06.17.2012,Bunghu,"Bunghu, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10125,11.06.17.2013,"Teu Dayah","Teu Dayah, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10126,11.06.17.2014,"Leupung Rayeuk","Leupung Rayeuk, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10127,11.06.17.2015,"Reuleung Glumpang","Reuleung Glumpang, Kuta Malaka, Kabupaten Aceh Besar, Aceh",6,11.06.17
10128,11.06.18.2001,"Ateuk Lam Phang","Ateuk Lam Phang, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10129,11.06.18.2002,"Ateuk Lampuot","Ateuk Lampuot, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10130,11.06.18.2003,"Ateuk Mon Panah","Ateuk Mon Panah, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10131,11.06.18.2004,"Ateuk Lam Ura","Ateuk Lam Ura, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10132,11.06.18.2005,"Ateuk Cut","Ateuk Cut, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10133,11.06.18.2006,"Ateuk Blang Asan","Ateuk Blang Asan, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10134,11.06.18.2007,"Lamjamee Dayah","Lamjamee Dayah, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10135,11.06.18.2008,"Lam Batee","Lam Batee, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10136,11.06.18.2009,Nya,"Nya, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10137,11.06.18.2010,"Batee Linteung","Batee Linteung, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10138,11.06.18.2011,"Krueng Mak","Krueng Mak, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10139,11.06.18.2012,Lambunot,"Lambunot, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10140,11.06.18.2013,"Lamjamee Lamkrak","Lamjamee Lamkrak, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10141,11.06.18.2014,"Blang Miro","Blang Miro, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10142,11.06.18.2015,"Blang Preh","Blang Preh, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10143,11.06.18.2016,"Bha Ulee Tutu","Bha Ulee Tutu, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10144,11.06.18.2017,"Lam Urit","Lam Urit, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10145,11.06.18.2018,Tantuha,"Tantuha, Simpang Tiga, Kabupaten Aceh Besar, Aceh",6,11.06.18
10146,11.06.19.2001,Lhang,"Lhang, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10147,11.06.19.2002,Biluy,"Biluy, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10148,11.06.19.2003,Lambatee,"Lambatee, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10149,11.06.19.2004,Lamkunyet,"Lamkunyet, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10150,11.06.19.2005,Lamtadok,"Lamtadok, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10151,11.06.19.2006,Neusok,"Neusok, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10152,11.06.19.2007,Turam,"Turam, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10153,11.06.19.2008,Tubaluy,"Tubaluy, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10154,11.06.19.2009,"Blang Kiree","Blang Kiree, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10155,11.06.19.2010,"Manee Dayah","Manee Dayah, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10156,11.06.19.2011,Lamsod,"Lamsod, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10157,11.06.19.2012,Lambleut,"Lambleut, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10158,11.06.19.2013,"Empee Trieng","Empee Trieng, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10159,11.06.19.2014,"Lambaro Biluy","Lambaro Biluy, Darul Kamal, Kabupaten Aceh Besar, Aceh",6,11.06.19
10160,11.06.20.2001,Cadek,"Cadek, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10161,11.06.20.2002,Kajhu,"Kajhu, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10162,11.06.20.2003,Baet,"Baet, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10163,11.06.20.2004,"Blang Krueng","Blang Krueng, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10164,11.06.20.2005,"Klieng Muria","Klieng Muria, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10165,11.06.20.2006,"Lam Bada Lhok","Lam Bada Lhok, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10166,11.06.20.2007,Lampineung,"Lampineung, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10167,11.06.20.2008,"Lam Asan","Lam Asan, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10168,11.06.20.2009,Labuy,"Labuy, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10169,11.06.20.2010,"Lam Ujong","Lam Ujong, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10170,11.06.20.2011,"Klieng Cot Aron","Klieng Cot Aron, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10171,11.06.20.2012,"Cot Paya","Cot Paya, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10172,11.06.20.2013,"Miruk Lam Reudep","Miruk Lam Reudep, Baitussalam, Kabupaten Aceh Besar, Aceh",6,11.06.20
10173,11.06.21.2001,"Meunasah Papeun","Meunasah Papeun, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10174,11.06.21.2002,"Meunasah Baktrieng","Meunasah Baktrieng, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10175,11.06.21.2003,"Leung Ie","Leung Ie, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10176,11.06.21.2004,Lampermai,"Lampermai, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10177,11.06.21.2005,"Gle Deyah","Gle Deyah, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10178,11.06.21.2006,Miruk,"Miruk, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10179,11.06.21.2007,"Lam Gapang","Lam Gapang, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10180,11.06.21.2008,"Meunasah Manyang","Meunasah Manyang, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10181,11.06.21.2009,"Meunasah Baet","Meunasah Baet, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10182,11.06.21.2010,"Meunasah Intan","Meunasah Intan, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10183,11.06.21.2011,Rumpet,"Rumpet, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10184,11.06.21.2012,"Gla Meunasah Baro","Gla Meunasah Baro, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",6,11.06.21
10185,11.06.22.2001,Layeun,"Layeun, Leupung, Kabupaten Aceh Besar, Aceh",6,11.06.22
10186,11.06.22.2002,Pulot,"Pulot, Leupung, Kabupaten Aceh Besar, Aceh",6,11.06.22
10187,11.06.22.2003,Lamseunia,"Lamseunia, Leupung, Kabupaten Aceh Besar, Aceh",6,11.06.22
10188,11.06.22.2004,"Mns. Mesjid","Mns. Mesjid, Leupung, Kabupaten Aceh Besar, Aceh",6,11.06.22
10189,11.06.22.2005,"Meunasah Bak U","Meunasah Bak U, Leupung, Kabupaten Aceh Besar, Aceh",6,11.06.22
10190,11.06.22.2006,"Dayah Mamplam","Dayah Mamplam, Leupung, Kabupaten Aceh Besar, Aceh",6,11.06.22
10191,11.06.23.2001,"Cot Puklat","Cot Puklat, Blang Bintang, Kabupaten Aceh Besar, Aceh",6,11.06.23
10192,11.06.23.2002,Lamme,"Lamme, Blang Bintang, Kabupaten Aceh Besar, Aceh",6,11.06.23
10193,11.06.23.2003,Meulayo,"Meulayo, Blang Bintang, Kabupaten Aceh Besar, Aceh",6,11.06.23
